Name,RIC,Exchange,TRBC Sector,Type of Equity,Currency,ISIN,CUSIP/CINS,SEDOL,GICS Sector,Market_Cap_(USD),Country_of_Issuer,ESG_Score,Environmental_Pillar_Score,Social_Pillar_Score,Governance_Pillar_Score,Controversies_Score,Estimated_CO2_Equivalents_Emission,Number_of_Employees,ROE,Operating_Margin,EPS_Growth_5_Years,DPS_Growth_5_Years,PE,Dividend_Yield,Debt_to_Equity,Current_Ratio,Volatility_200_Days,%_Price_Change_Relative_52W_High,%_Price_Change_Relative_52W_Low
Fidelity China Special Situations PLC,FCSS.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB00B62Z3C74,G3449X103,B62Z3C7,,"1,225,811,416",United Kingdom,24.76,10.69,31.18,22.82,100.00,"-323,454.00",0,1.74,43.57,-37.78,12.30,37.44,2.98,0.09,1.16,22.24,30.81,17.85
PZ Cussons PLC,PZC.L,London Stock Exchange,Personal Products (NEC),Ordinary Share,British Penny,GB00B19Z1432,G6850S109,B19Z143,"Consumer Staples, Household & Personal Products, Personal Products","734,203,927",United Kingdom,57.98,24.90,59.72,87.69,100.00,"50,587.00","3,000",9.20,11.17,-2.01,-5.02,16.03,4.59,1.43,2.33,26.27,37.49,3.72
Halfords Group PLC,HFD.L,London Stock Exchange,"Auto Vehicles, Parts & Service Retailers (NEC)",Ordinary Share,British Penny,GB00B012TP20,G4280E105,B012TP2,"Consumer Discretionary, Retailing, Specialty Retail, Automotive Retail","497,564,811",United Kingdom,67.81,60.39,55.95,84.71,48.78,"20,888.00","11,512",6.04,3.99,-10.91,-11.12,11.85,5.41,1.39,0.96,39.30,21.21,17.09
Next 15 Group PLC,NFGN.L,London Stock Exchange,Advertising & Marketing (NEC),Ordinary Share,British Penny,GB0030026057,G6500G109,3002605,"Communication Services, Media & Entertainment, Media, Advertising","771,364,913",United Kingdom,42.85,68.06,32.21,48.47,100.00,222.40,"2,879",1.42,11.97,-31.89,18.30,23.75,2.36,4.21,0.89,38.05,43.85,16.24
Savills PLC,SVS.L,London Stock Exchange,Real Estate Services (NEC),Ordinary Share,British Penny,GB00B135BJ46,G78283119,B135BJ4,"Real Estate, Real Estate Management & Development, Real Estate Services","1,505,085,692",United Kingdom,54.67,41.17,48.25,74.78,100.00,"7,438.00","40,090",15.54,7.06,8.15,3.34,13.27,3.31,1.98,1.24,29.47,20.40,10.27
Vesuvius PLC,VSVS.L,London Stock Exchange,Industrial Process Furnace & Ovens,Ordinary Share,British Penny,GB00B82YXW83,G9339E105,B82YXW8,"Industrials, Capital Goods, Machinery, Industrial Machinery","1,360,066,364",United Kingdom,60.29,47.09,62.65,73.01,64.39,"341,396.00","11,204",14.37,10.59,38.06,4.33,6.07,5.52,0.81,1.87,24.29,13.74,33.84
Pagegroup PLC,PAGE.L,London Stock Exchange,Executive Search Services,Ordinary Share,British Penny,GB0030232317,G68668105,3023231,"Industrials, Commercial & Professional Services, Professional Services, Human Resource & Employment Services","1,711,722,614",United Kingdom,55.21,26.93,59.97,68.93,100.00,"2,977.00","7,838",39.47,9.85,10.52,4.62,13.38,3.75,1.26,1.72,25.22,12.26,22.23
C&C Group PLC,GCC.L,London Stock Exchange,Wineries,Ordinary Share,British Penny,IE00B010DT83,G1826G107,B010DT8,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Distillers & Vintners","682,533,256",Ireland,51.75,48.72,36.53,83.37,100.00,"35,907.60","2,822",7.02,4.98,-11.16,-23.05,12.11,2.30,0.92,0.93,31.77,24.57,17.77
Learning Technologies Group PLC,LTGL.L,London Stock Exchange,Professional Information Services (NEC),Ordinary Share,British Penny,GB00B4T7HX10,G5416A107,B4T7HX1,"Industrials, Commercial & Professional Services, Professional Services, Human Resource & Employment Services","647,952,718",United Kingdom,46.15,42.31,47.72,46.83,100.00,"1,150.50","2,131",7.13,10.95,75.36,39.77,18.45,2.40,1.06,1.31,46.10,57.70,5.87
SThree PLC,STEMS.L,London Stock Exchange,Employment Services (NEC),Ordinary Share,British Penny,GB00B0KM9T71,G8499E103,B0KM9T7,"Industrials, Commercial & Professional Services, Professional Services, Human Resource & Employment Services","588,648,946",United Kingdom,59.01,70.17,37.53,78.63,100.00,675.00,"2,735",27.05,5.05,13.78,2.71,9.39,4.50,1.35,1.76,24.37,27.74,9.38
Victrex PLC,VCTX.L,London Stock Exchange,Specialty Chemicals (NEC),Ordinary Share,British Penny,GB0009292243,G9358Y107,0929224,"Materials, Chemicals, Specialty Chemicals","1,512,664,377",United Kingdom,42.15,29.97,41.30,65.12,100.00,"35,905.00","1,004",15.59,28.50,-5.53,2.06,17.05,4.21,0.31,2.74,27.35,27.55,7.20
Caledonia Investments PLC,CLDN.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB0001639920,G17640106,0163992,,"2,242,953,912",United Kingdom,71.56,71.47,78.85,66.19,100.00,68.00,66,5.11,83.32,40.37,3.41,12.68,2.02,0.11,0.85,22.16,17.84,9.51
A G Barr PLC,BAG.L,London Stock Exchange,Carbonated Soft Drinks,Ordinary Share,British Penny,GB00B6XZKY75,G012A7101,B6XZKY7,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","674,374,593",United Kingdom,43.91,23.41,39.10,77.36,55.56,"8,822.83",895,12.61,13.85,-1.13,-3.37,16.13,2.70,0.40,1.96,19.25,13.37,14.89
Morgan Sindall Group PLC,MGNS.L,London Stock Exchange,Construction & Engineering (NEC),Ordinary Share,British Penny,GB0008085614,G81560107,0808561,"Industrials, Capital Goods, Construction & Engineering","1,144,882,444",United Kingdom,77.10,82.49,67.14,83.29,100.00,"13,595.00","6,666",12.27,3.80,2.24,17.55,14.18,5.28,2.62,1.19,24.24,8.47,47.97
Treatt PLC,TET.L,London Stock Exchange,Food Ingredients,Ordinary Share,British Penny,GB00BKS7YK08,G9026D113,BKS7YK0,"Materials, Chemicals, Specialty Chemicals","359,945,534",United Kingdom,67.42,74.76,59.14,73.67,100.00,"4,546.00",425,9.95,11.25,6.08,10.34,27.73,1.63,0.41,2.34,36.55,33.72,15.36
Renew Holdings PLC,RNWH.L,London Stock Exchange,Construction & Engineering (NEC),Ordinary Share,British Penny,GB0005359004,G7490A102,0535900,"Industrials, Capital Goods, Construction & Engineering","675,651,079",United Kingdom,33.06,23.49,20.71,63.50,100.00,"28,168.80","3,857",25.33,6.33,14.25,13.56,12.39,2.49,1.65,0.83,22.73,10.21,26.36
Judges Scientific PLC,JDG.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB0032398678,G51983107,3239867,"Industrials, Capital Goods, Machinery, Industrial Machinery","632,190,220",United Kingdom,32.12,20.71,48.18,24.76,100.00,217.20,540,22.93,18.73,24.48,20.41,58.63,1.11,2.42,0.99,26.39,24.83,17.79
Coats Group PLC,COA.L,London Stock Exchange,Textiles & Leather Goods (NEC),Ordinary Share,British Penny,GB00B4YZN328,G22429115,B4YZN32,"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Textiles","1,419,183,971",United Kingdom,80.13,78.65,78.10,84.81,100.00,"278,811.00","18,817",-2.21,14.15,0.62,13.04,30.39,2.75,1.84,1.75,30.68,12.58,41.27
Keller Group PLC,KLR.L,London Stock Exchange,Construction & Engineering (NEC),Ordinary Share,British Penny,GB0004866223,G5222K109,0486622,"Industrials, Capital Goods, Construction & Engineering","635,677,055",United Kingdom,57.42,42.08,53.01,84.98,41.30,"217,099.00","10,000",9.30,2.30,-12.15,1.97,0.21,5.40,2.44,1.38,32.81,19.84,20.71
ICG Enterprise Trust PLC,ICGT.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB0003292009,G4707H103,0329200,,"995,242,857",United Kingdom,31.72,46.86,25.42,33.35,100.00,"4,892.31",0,12.65,87.60,17.87,37.97,18.02,2.67,0.06,0.32,22.78,1.94,27.12
Hollywood Bowl Group PLC,BOWL.L,London Stock Exchange,Leisure & Recreation (NEC),Ordinary Share,British Penny,GB00BD0NVK62,G45655100,BD0NVK6,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Leisure Facilities","510,495,685",United Kingdom,35.18,34.47,31.10,41.95,100.00,"3,987.40","2,530",27.06,27.54,12.48,14.93,13.22,4.88,1.62,1.58,28.83,13.42,26.87
PayPoint plc,PAYP.L,London Stock Exchange,Transaction & Payment Services,Ordinary Share,British Penny,GB00B02QND93,G6962B101,B02QND9,"Financials, Financial Services, Transaction & Payment Processing Services","467,819,812",United Kingdom,36.17,34.23,31.80,43.11,74.58,444.00,670,31.07,30.94,-4.48,-18.42,10.46,5.70,3.30,0.80,26.59,12.67,40.67
Ibstock PLC,IBST.L,London Stock Exchange,Construction Materials (NEC),Ordinary Share,British Penny,GB00BYXJC278,G46956135,BYXJC27,"Materials, Construction Materials","670,337,084",United Kingdom,70.37,68.57,65.06,81.11,100.00,"319,610.00","2,119",20.88,19.80,6.19,-0.67,8.03,6.41,0.83,1.67,24.06,22.66,4.59
NextEnergy Solar Fund Ltd,NESF.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,GG00BJ0JVY01,G65006101,BJ0JVY0,,"604,611,246",Guernsey,74.94,29.21,78.29,81.61,100.00,7.56,0,7.16,73.18,6.88,3.21,10.16,9.27,0.30,7.99,16.63,28.19,1.96
Ferrexpo PLC,FXPO.L,London Stock Exchange,Iron Ore Mining,Ordinary Share,British Penny,GB00B1XH2C03,G3435Y107,B1XH2C0,"Materials, Metals & Mining, Steel","556,619,695",Switzerland,79.03,65.93,86.23,85.99,73.08,"1,053,200.00","8,267",17.60,32.49,-9.41,70.80,3.43,24.12,0.08,5.79,46.45,56.79,7.29
Senior PLC,SNR.L,London Stock Exchange,Aircraft Parts Manufacturing,Ordinary Share,British Penny,GB0007958233,G8031U102,0795823,"Industrials, Capital Goods, Aerospace & Defense","854,292,978",United Kingdom,65.88,60.77,54.99,84.41,100.00,"50,338.00","5,664",4.49,3.82,-19.51,-25.45,31.65,0.97,1.17,1.40,26.05,9.89,49.37
Empiric Student Property PLC,ESP.L,London Stock Exchange,Residential REITs,Ordinary Share,British Penny,GB00BLWDVR75,G30381100,BLWDVR7,"Real Estate, Equity Real Estate Investment Trusts (REITs), Residential REITs, Multi-Family Residential REITs","646,433,824",United Kingdom,49.05,37.82,29.48,80.54,100.00,"7,443.00",295,9.66,113.56,23.87,-7.36,23.74,3.58,0.64,1.32,22.63,9.17,17.84
Cerillion PLC,CER.L,London Stock Exchange,Enterprise Software,Ordinary Share,British Penny,GB00BYYX6C66,G2028X104,BYYX6C6,"Information Technology, Software & Services, Software, Application Software","369,473,378",United Kingdom,20.41,0.00,17.21,29.29,100.00,149.82,295,34.96,38.12,35.66,16.72,26.31,0.96,0.59,2.81,34.25,32.89,7.01
Tyman PLC,TYMN.L,London Stock Exchange,Construction Supplies & Fixtures (NEC),Ordinary Share,British Penny,GB00B29H4253,G9161J107,B29H425,"Industrials, Capital Goods, Building Products","653,375,437",United Kingdom,65.21,67.70,51.56,83.35,100.00,"36,888.00","4,159",8.83,10.82,6.91,4.02,14.38,5.06,0.66,2.62,25.09,16.51,48.30
Foresight Solar Fund Ltd,FSFL.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,JE00BD3QJR55,G36291105,BD3QJR5,,"651,611,062",Jersey,30.61,73.56,38.11,16.48,100.00,"1,173.92",0,20.02,94.77,23.54,2.41,27.80,8.26,0.00,104.40,14.78,27.12,0.91
ME Group International PLC,MEGPM.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB0008481250,G70695112,0848125,"Consumer Discretionary, Consumer Services, Diversified Consumer Services, Specialized Consumer Services","691,942,295",United Kingdom,36.72,32.30,31.13,48.54,100.00,579.00,860,29.24,21.88,-0.72,-13.18,13.18,4.01,1.46,1.84,38.16,12.90,82.57
Young & Co's Brewery PLC,YNGa.L,London Stock Exchange,Restaurants & Bars (NEC),Ordinary Share,British Penny,GB00B2NDK765,G98715140,B2NDK76,"Consumer Discretionary, Consumer Services, Hotels, Restaurants & Leisure, Restaurants","630,174,067",United Kingdom,33.75,31.51,38.50,28.66,100.00,"16,664.00","5,275",4.10,13.61,-3.79,0.91,19.22,2.10,0.46,0.54,33.72,22.54,13.09
abrdn Private Equity Opportunities Trust plc,APEO.L,London Stock Exchange,UK Investment Trusts,Ordinary Share,British Penny,GB0030474687,G8425X100,3047468,,"817,838,805",United Kingdom,42.85,11.22,69.68,29.35,100.00,208.23,0,12.40,91.23,12.10,3.71,6.15,3.60,0.06,0.48,27.94,12.53,18.63
Mears Group PLC,MERG.L,London Stock Exchange,Cleaning Services,Ordinary Share,British Penny,GB0005630420,G5946P103,0563042,"Industrials, Commercial & Professional Services, Commercial Services & Supplies, Diversified Support Services","350,137,822",United Kingdom,56.78,35.42,57.77,70.47,100.00,"16,107.00","5,504",13.33,4.21,4.70,-2.64,10.37,3.98,1.96,1.05,22.32,6.78,52.35
Nichols PLC,NICL.L,London Stock Exchange,Non-Alcoholic Beverages (NEC),Ordinary Share,British Penny,GB0006389398,G65156112,0638939,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","403,292,714",United Kingdom,20.78,13.72,9.33,50.30,100.00,"1,447.00",308,13.11,14.92,-12.71,-3.73,27.33,3.10,0.38,3.48,30.28,40.79,2.04
Forterra PLC,FORT.L,London Stock Exchange,Construction Materials (NEC),Ordinary Share,British Penny,GB00BYYW3C20,G3638E106,BYYW3C2,"Materials, Construction Materials","375,934,849",United Kingdom,45.25,46.26,40.56,50.18,100.00,"309,515.00","1,792",26.67,15.87,2.71,9.12,8.09,8.69,0.80,1.12,27.37,38.28,5.12
James Halstead PLC,JHD.L,London Stock Exchange,Construction Supplies & Fixtures (NEC),Ordinary Share,British Penny,GB00B0LS8535,G4253G129,B0LS853,"Industrials, Capital Goods, Building Products","1,008,605,235",United Kingdom,38.66,44.04,40.02,29.54,100.00,"14,834.00",819,23.28,17.91,2.88,3.46,19.42,4.06,0.56,2.44,31.03,13.67,19.00
M P Evans Group PLC,MPE.L,London Stock Exchange,Fishing & Farming (NEC),Ordinary Share,British Penny,GB0007538100,G63363108,0753810,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Agricultural Products","474,641,802",United Kingdom,35.28,17.60,44.23,39.27,100.00,"345,785.00","8,200",15.51,31.51,28.50,19.08,11.14,5.89,0.22,3.11,26.72,21.52,10.74
Wincanton PLC,WIN.L,London Stock Exchange,Freight Logistics,Ordinary Share,British Penny,GB0030329360,G9688X100,3032936,"Industrials, Transportation, Air Freight & Logistics","404,690,021",United Kingdom,61.53,38.77,61.84,88.44,100.00,"334,200.00","20,300",75.31,4.51,1.31,5.92,9.83,4.99,9.71,0.65,47.42,33.71,41.44
Bloomsbury Publishing PLC,BLPU.L,London Stock Exchange,Consumer Publishing (NEC),Ordinary Share,British Penny,GB0033147751,G1179Q132,3314775,"Communication Services, Media & Entertainment, Media, Publishing","387,490,419",United Kingdom,62.72,47.01,45.32,90.87,100.00,363.00,818,10.78,9.74,16.19,10.05,15.50,3.04,0.68,1.80,25.43,21.52,5.89
Goodwin PLC,GDWN.L,London Stock Exchange,Industrial Machinery & Equipment (NEC),Ordinary Share,British Penny,GB0003781050,G39900108,0378105,"Industrials, Capital Goods, Machinery, Industrial Machinery","476,038,049",United Kingdom,28.55,4.06,36.41,47.62,100.00,"34,515.00","1,112",12.75,10.94,11.86,6.62,24.95,2.23,1.07,1.64,31.48,9.47,74.89
Bakkavor Group Plc,BAKK.L,London Stock Exchange,Food Processing (NEC),Ordinary Share,British Penny,GB00BF8J3Z99,G0R792105,BF8J3Z9,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats","681,927,709",United Kingdom,57.21,43.03,50.59,84.25,39.47,"144,035.00","18,972",2.02,4.11,-17.62,3.34,43.55,7.38,1.49,0.61,34.35,24.29,11.40
Anglo-Eastern Plantations PLC,ANEA.L,London Stock Exchange,Fishing & Farming (NEC),Ordinary Share,British Penny,GB0000365774,G03780106,0036577,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Agricultural Products","356,121,177",United Kingdom,27.14,31.64,22.16,30.78,74.34,"629,263.00","13,809",17.19,29.83,20.52,46.88,7.80,3.01,0.12,7.84,28.11,17.40,12.53
FW Thorpe PLC,TFW.L,London Stock Exchange,Lighting Fixtures,Ordinary Share,British Penny,GB00BC9ZLX92,G88462117,BC9ZLX9,"Industrials, Capital Goods, Electrical Equipment, Electrical Components & Equipment","554,473,163",United Kingdom,27.42,29.85,29.03,21.73,100.00,"2,325.00",869,13.81,17.20,6.47,4.65,20.92,1.62,0.42,2.90,26.29,16.30,12.57
Integrated Diagnostics Holdings PLC,IDHC.L,London Stock Exchange,Healthcare Facilities & Services (NEC),Ordinary Share,US Dollar,JE00BLKGSR75,G4836Q115,BLKGSR7,"Health Care, Health Care Equipment & Services, Health Care Providers & Services, Health Care Services","648,178,930",Jersey,22.32,0.00,28.80,25.69,100.00,"10,041.40","5,346",25.12,23.08,0.88,27.08,23.52,26.85,1.32,1.11,46.49,47.19,23.43
London Security PLC,LSC.L,London Stock Exchange,Security & Surveillance,Ordinary Share,British Penny,GB0005314363,G48944147,0531436,"Industrials, Capital Goods, Machinery, Industrial Machinery","451,837,766",United Kingdom,18.73,2.83,28.59,17.99,100.00,"4,597.28","1,436",13.85,14.38,7.15,0.98,16.90,2.80,0.34,2.33,35.64,6.25,39.53
Schroder Oriental Income Fund Ltd,SOI.L,London Stock Exchange,Closed End Funds,Ordinary Share,British Penny,GB00B0CRWN59,G7883J140,B0CRWN5,,"632,182,333",Guernsey,67.47,68.60,74.43,62.11,100.00,764.18,0,11.15,218.59,-32.02,4.32,32.91,4.73,0.09,0.65,13.51,13.12,6.52
Tatneft' PAO,TATNxq.L,London Stock Exchange,Integrated Oil & Gas,American Depository Receipt,US Dollar,US8766292051,876629205,BYY37Q7,"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production","15,064,296,316",Russia,53.43,45.54,71.85,32.15,100.00,"12,860,000.00","60,743",25.99,29.65,16.14,-29.21,0.78,20.02,0.52,1.10,89.59,63.71,0.00
TotalEnergies SE,TTEF.L,London Stock Exchange,Integrated Oil & Gas,Ordinary Share,Euro,FR0000120271,F92124100,B128WJ1,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","158,296,710,312",France,84.48,90.58,87.89,69.42,7.50,"40,000,000.00","101,309",18.37,17.69,20.60,8.97,8.30,5.80,1.69,1.15,34.78,10.82,24.67
CRH PLC,CRH.L,London Stock Exchange,Construction Materials (NEC),Ordinary Share,British Penny,IE0001827041,G25508105,0182704,"Materials, Construction Materials","40,271,847,018",Ireland,88.57,96.89,83.85,80.62,100.00,"33,500,000.00","77,446",17.74,11.90,9.03,10.12,15.44,0.84,1.05,1.67,25.15,0.19,69.69
Microsoft Corp,0QYP.L,London Stock Exchange,Software (NEC),Ordinary Share,US Dollar,US5949181045,594918104,B10RVH1,"Information Technology, Software & Services, Software, Systems Software","2,450,484,670,790",United States,89.33,77.96,88.30,93.63,2.78,"6,520,660.00","221,000",35.09,42.33,20.05,10.16,34.13,0.91,1.00,1.77,26.42,9.89,54.83
Apple Inc,0R2V.L,London Stock Exchange,Phones & Smart Phones,Ordinary Share,US Dollar,US0378331005,037833100,B0YQ5W0,"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals","2,798,371,185,680",United States,80.18,65.37,79.61,93.55,2.94,"1,058,450.00","164,000",196.96,30.29,21.58,8.15,30.51,0.53,5.96,0.88,27.69,8.42,46.46
Compagnie de Saint Gobain SA,CODC.L,London Stock Exchange,Construction Supplies & Fixtures (NEC),Ordinary Share,Euro,FR0000125007,F80343100,3166813,"Industrials, Capital Goods, Building Products","30,338,337,646",France,88.71,96.35,85.35,84.04,22.73,"10,300,000.00","167,816",13.22,9.69,15.59,9.00,10.22,3.66,1.42,1.24,34.23,12.12,48.96
Mastercard Inc,0R2Z.L,London Stock Exchange,Internet Security & Transactions Services,Ordinary Share,US Dollar,US57636Q1040,57636Q104,BSJC8D1,"Financials, Financial Services, Transaction & Payment Processing Services","371,928,900,275",United States,75.82,75.00,76.51,75.46,12.73,"54,138.00","24,000",157.67,57.05,18.00,17.92,33.82,0.63,5.14,1.17,21.28,13.72,30.31
BHP Group Ltd,BHPB.L,London Stock Exchange,Diversified Mining,Fully Paid Ordinary Share,British Penny,AU000000BHP4,Q1498M100,0144403,"Materials, Metals & Mining, Diversified Metals & Mining","143,446,096,283",Australia,89.00,83.76,88.67,97.07,0.45,"12,300,000.00","37,908",29.04,42.74,31.40,10.44,11.60,8.19,1.19,1.23,26.92,19.11,14.89
Comcast Corp,0QYF.L,London Stock Exchange,Satellite Service Operators,Ordinary Share,US Dollar,US20030N1019,20030N101,B0ZC1Q3,"Communication Services, Media & Entertainment, Media, Cable & Satellite","181,877,110,619",United States,66.32,61.22,68.00,66.87,31.37,"2,071,040.00","186,000",6.63,18.64,-10.44,11.38,36.40,2.02,2.16,0.78,65.13,-21.43,101.40
Telefonica SA,0TDE.L,London Stock Exchange,Integrated Telecommunications Services (NEC),Ordinary Share,Euro,ES0178430E18,879382109,0798394,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services","23,504,747,522",Spain,82.41,79.89,94.98,59.13,19.81,"1,134,000.00","104,150",8.02,8.48,-5.99,5.32,11.28,5.52,3.11,0.98,23.61,12.24,38.63
Smurfit Kappa Group PLC,SKG.L,London Stock Exchange,Paper Packaging (NEC),Ordinary Share,British Penny,IE00B1RR8406,G8248F104,B1RR840,"Materials, Containers & Packaging, Paper Packaging","8,861,324,053",Ireland,82.29,73.12,86.04,90.02,61.11,"3,049,000.00","48,000",18.79,13.03,15.57,9.71,9.83,4.42,1.48,1.49,29.47,23.31,13.65
Merck & Co Inc,0QAH.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,US Dollar,US58933Y1055,58933Y105,B56DS36,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","265,170,962,160",United States,77.94,83.05,92.82,51.96,30.00,"1,069,900.00","68,000",31.57,34.26,25.61,3.48,85.42,2.80,1.37,1.47,18.30,12.93,16.43
Cisco Systems Inc,0R0K.L,London Stock Exchange,Communications & Networking (NEC),Ordinary Share,US Dollar,US17275R1023,17275R102,B0Z88L5,"Information Technology, Technology Hardware & Equipment, Communications Equipment","218,637,931,659",United States,84.04,70.95,93.67,81.94,76.67,"598,208.00","83,300",28.44,27.35,7.37,3.90,17.58,2.89,1.30,1.38,18.56,7.17,39.68
Umicore SA,0RUY.L,London Stock Exchange,Specialty Chemicals (NEC),Ordinary Share,Euro,BE0974320526,B95505184,BYZ1PV1,"Materials, Chemicals, Specialty Chemicals","5,812,988,720",Belgium,80.43,84.81,82.22,69.65,100.00,"684,993.00","13,639",16.21,3.31,19.63,2.71,44.49,1.63,1.81,1.58,27.86,9.71,69.65
Kerry Group PLC,KYGa.L,London Stock Exchange,Food Processing (NEC),Ordinary Share,Euro,IE0004906560,G52416107,0490656,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats","14,464,695,959",Ireland,84.32,80.66,92.65,73.95,74.34,"486,146.00","25,195",9.75,10.39,0.49,10.82,18.44,1.41,0.97,1.44,31.79,23.45,2.82
Exxon Mobil Corp,0R1M.L,London Stock Exchange,Oil & Gas Refining and Marketing (NEC),Ordinary Share,US Dollar,US30231G1022,30231G102,0327497,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","444,034,143,934",United States,75.49,85.02,66.19,78.11,0.76,"99,000,000.00","63,000",28.58,17.09,32.57,3.02,8.88,3.28,0.85,1.41,26.95,7.98,14.09
Volkswagen AG,0P6O.L,London Stock Exchange,Auto & Truck Manufacturers (NEC),Preference Share,Euro,DE0007664039,D94523103,0309291,"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers","62,264,814,121",Germany,85.02,90.58,91.15,66.77,15.09,"6,570,000.00","672,789",9.34,8.08,5.85,17.21,4.72,2.01,2.33,1.23,27.72,5.19,29.82
Coca-Cola Co,0QZK.L,London Stock Exchange,Non-Alcoholic Beverages (NEC),Ordinary Share,US Dollar,US1912161007,191216100,B0ZKV12,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","228,671,353,658",United States,79.97,67.66,86.04,83.56,15.63,"5,490,000.00","79,000",39.59,28.20,14.32,3.40,22.27,3.42,2.78,1.15,13.01,19.43,4.49
Nike Inc,0QZ6.L,London Stock Exchange,Sports & Outdoor Footwear,Ordinary Share,US Dollar,US6541061031,654106103,BSJC8P3,"Consumer Discretionary, Consumer Durables & Apparel, Textiles, Apparel & Luxury Goods, Footwear","147,442,652,910",United States,73.94,85.24,84.40,47.43,7.89,"274,903.00","79,100",36.20,11.55,22.52,11.14,35.17,1.19,1.68,2.72,26.91,12.98,46.15
Koninklijke KPN NV,0O8F.L,London Stock Exchange,Integrated Telecommunications Services (NEC),Ordinary Share,Euro,NL0000009082,N4297B146,0726469,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services","13,213,456,413",Netherlands,71.34,67.25,73.60,69.95,100.00,"218,900.00","9,699",20.85,22.90,17.61,3.06,14.16,5.63,2.28,0.83,24.54,2.75,35.87
General Motors Co,0R0E.L,London Stock Exchange,Auto & Truck Manufacturers (NEC),Ordinary Share,US Dollar,US37045V1008,37045V100,BSJC7R8,"Consumer Discretionary, Automobiles & Components, Automobiles, Automobile Manufacturers","42,639,305,030",United States,79.65,67.36,90.40,78.52,6.94,"4,134,670.00","167,000",14.66,7.67,3.31,4.84,4.38,1.15,2.83,1.10,30.73,27.99,5.58
PepsiCo Inc,0QOSP.L,London Stock Exchange,Carbonated Soft Drinks,Ordinary Share,US Dollar,US7134481081,713448108,BKJ91Q0,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","222,125,047,390",United States,88.84,82.84,89.74,94.40,9.38,"5,407,830.00","315,000",51.96,14.45,4.86,7.39,28.50,3.07,4.37,0.80,14.65,16.38,5.60
TotalEnergies SE,0A30.L,London Stock Exchange,Integrated Oil & Gas,American Depository Receipt,US Dollar,US89151E1091,89151E109,BK5MTK3,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","158,296,710,312",France,84.48,90.58,87.89,69.42,7.50,"40,000,000.00","101,309",18.37,17.69,18.65,4.85,8.55,4.68,1.69,1.15,24.39,2.71,39.21
Visa Inc,0QZ0.L,London Stock Exchange,Internet Security & Transactions Services,Ordinary Share,US Dollar,US92826C8394,92826C839,BSJC9L6,"Financials, Financial Services, Transaction & Payment Processing Services","477,170,121,927",United States,59.80,46.80,73.94,51.52,28.57,"67,300.00","26,500",44.97,67.35,20.11,17.95,27.92,0.82,1.50,1.45,18.32,12.01,25.84
Pfizer Inc,0Q1N.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,US Dollar,US7170811035,717081103,0684705,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","187,445,857,724",United States,81.01,84.96,89.39,65.60,12.68,"1,140,200.00","79,000",32.80,37.50,22.73,3.82,8.87,4.92,1.06,1.22,20.03,39.34,4.72
Heineken NV,0O26.L,London Stock Exchange,Brewers (NEC),Ordinary Share,Euro,NL0000009165,N39427211,B4MNQ95,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Brewers","51,656,014,558",Netherlands,71.33,70.08,72.05,71.51,86.11,"1,478,000.00","82,257",13.72,14.42,6.57,3.31,53.00,1.86,1.56,0.78,32.08,1.19,63.33
